City,Country,Latitude,Longitude,Timestamp_UTC,Temperature_C,Wind_KPH,Condition,AQI_US,CO,NO2,O3,PM2.5
Lagos,Nigeria,6.4531,3.3958,1762907400,27.3,18.0,Clear,2.0,414.85,17.75,37.0,24.45
Accra,Ghana,5.55,-0.2167,1762907400,27.1,14.0,Partly Cloudy,1.0,236.85,9.75,39.0,10.15
Nairobi,Kenya,-1.2833,36.8167,1762907400,18.2,13.3,Partly cloudy,2.0,295.85,11.75,35.0,15.55
Johannesburg,South Africa,-26.2,28.0833,1762907400,17.0,3.6,Clear,4.0,1789.85,109.65,6.0,95.85
Cairo,Egypt,30.05,31.25,1762907400,18.2,11.2,Clear,2.0,350.85,61.05,19.0,24.95
Casablanca,Morocco,33.5931,-7.6164,1762907400,16.1,19.1,Clear,1.0,154.85,12.05,36.0,15.25
Addis Ababa,Ethiopia,9.0333,38.7,1762907400,9.7,3.6,Clear,2.0,609.85,10.75,46.0,31.15
Dar Es Salaam,Tanzania,-6.8,39.2833,1762907400,24.6,7.9,Patchy rain nearby,1.0,105.85,5.05,18.0,5.15
Kampala,Uganda,0.3156,32.5656,1762907400,19.2,5.0,Clear,2.0,397.85,9.15,42.0,29.35
Algiers,Algeria,36.7631,3.0506,1762907400,11.1,8.6,Clear,1.0,294.85,61.25,10.0,14.15
Lagos,Nigeria,6.4531,3.3958,1762993800,26.0,20.9,Patchy light rain with thunder,2.0,330.85,13.45,43.0,18.75
Accra,Ghana,5.55,-0.2167,1762993800,27.0,15.5,Partly cloudy,1.0,210.85,7.55,46.0,7.15
Nairobi,Kenya,-1.2833,36.8167,1762993800,15.1,11.5,Partly Cloudy,1.0,236.85,9.55,32.0,12.25
Johannesburg,South Africa,-26.2,28.0833,1762993800,18.1,4.3,Clear,4.0,1071.85,114.75,24.0,107.95
Cairo,Egypt,30.05,31.25,1762993800,19.4,9.4,Clear,2.0,452.85,56.45,8.0,29.05
Casablanca,Morocco,33.5931,-7.6164,1762993800,21.3,15.8,Patchy rain nearby,2.0,141.85,13.85,46.0,18.45
Addis Ababa,Ethiopia,9.0333,38.7,1762993800,14.2,4.0,Partly cloudy,2.0,502.85,7.65,47.0,23.45
Dar Es Salaam,Tanzania,-6.8,39.2833,1762993800,24.6,5.0,Patchy rain nearby,1.0,117.85,6.35,14.0,5.25
