name,brand,price,deal_price,final_price,description,image_thumbnail,sku,seller,stock,product_rating,fetched_at
45W Magsafe 2 Power Adapter,Apple,124000,,,[object Object],/T/B/57289_1636972306.jpg,5528744,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Mini Display Port To Hdmi,,36200,,,[object Object],/U/W/57289_1637063766.jpg,5527693,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 17}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
C270 Hd Webcam - Hd 720p - Widescreen Hd Video,Logitech,80000,,,[object Object],/D/B/57289_1636630808.jpg,5522604,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 17}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
JCO4 LAPTOP BATTERY,HP,24725,,,[object Object],/T/I/118566_1604505433.jpg,5000867,{'name': 'Konga'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Basilisk Gaming Mouse Classic Black,Razer,244000,,,[object Object],/R/U/57289_1727279653.jpg,6566278,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Baseus Ultrajoy 5w1 5-port Hub docking station - Grey,,49000,,,[object Object],/F/Z/57289_1760001914.jpg,6861874,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Baseus Ultrajoy Series 7-port Usb C Docking Station – 4k@60hz Hdmi- 100w Pd- 1080p Vga ,,80000,,,[object Object],/W/K/57289_1759746143.jpg,6860173,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Baseus Hub 8 In 1 Usb C Hub Docking Station Adapter With 4k Hdmi For Ipad Pro,,90000,,,[object Object],/F/A/57289_1759747297.jpg,6860155,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Microsoft Arc Mouse - Platinum,,220000,,,[object Object],/P/X/57289_1757502114.jpg,6839757,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Maxell Laptop Mic - Black,,13000,,,[object Object],/K/Q/57289_1757437240.jpg,6838960,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Apple 2024 Magic Mouse - Multi-touch Surface - Usb-c - Black,,260000,,,[object Object],/Y/B/57289_1756806101.jpg,6832811,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 5}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
G502 X Lightspeed Wireless Gaming Mouse,Logitech,280000,,,[object Object],/G/K/57289_1755698234.jpg,6821997,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 5}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
2024 Magic Mouse - Multi-touch Surface - Usb-c - White,,190000,,,[object Object],/C/Q/57289_1754927194.jpg,6815170,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Hp K200 Wired Keyboard,,29900,,,[object Object],/R/I/57289_1754131802.jpg,6807059,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 19}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Hp Wireless Keyboard And Mouse Combo - Cs10,,52500,,,[object Object],/A/J/57289_1754131134.jpg,6807055,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
 Atheris Wireless Mouse,Razer,255000,,,[object Object],/B/V/57289_1753720934.jpg,6804247,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
 Naga Pro Wireless Gaming Mouse - Black,Razer,340000,,,[object Object],/Q/U/57289_1753720648.jpg,6804244,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Sennheiser Pro Audio Portable Lavalier Wireless Set- Aw+ ew 512p G4,,550000,,,[object Object],/R/S/57289_1753451090.jpg,6802339,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Apple Magic Mouse - Wireless / Bluetooth /  Rechargeable ,Apple,245000,,,[object Object],/A/Q/57289_1753195591.jpg,6799336,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Porodo Gaming 2k 30fps Auto Focus Webcam With In-built Mic And Tripod,,95000,,,[object Object],/W/J/57289_1751631021.jpg,6785154,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Rechargeable Gaming Mouse - Black,,40000,,,[object Object],/U/Z/57289_1746887552.jpg,6742662,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 9}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Magic Keyboard With Touch Id- Wireless- Bluetooth- Rechargeable- Works With Mac PC,,420000,,,[object Object],/U/D/57289_1739612165.jpg,6671976,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 19}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Atheris Ambidextrous Wireless Mouse,Razer,254000,,,[object Object],/D/W/57289_1727278633.jpg,6566277,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
Naga Pro Wireless Gaming Mouse - Black,Razer,339000,,,[object Object],/V/W/57289_1727278316.jpg,6566276,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
H390 Wired Stereo Headset With Noise-cancelling Microphone,Logitech,64000,,,[object Object],/A/N/57289_1727282309.jpg,6565629,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-27 04:14:01
